11 Demographic trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total
(millions)",,,,,,"Average annual growth
(%)",,,,"Urban
(% of total)a",,,,"Median age
(years)",,,,Dependency ratio ,,,,Total fertility rate,,,,Sex ratio at birth ,,,
,,(millions),,,,,,(%),,,,(% of total)a,,,,(years),,,,(per 100 people ages 15–64),,,,(births per woman),,,,(male births per 100 female births)b,,,
HDI rank,,1990,,2010,,2030,,1990–1995,,2010–2015,,1990,,2010,,1990,,2010,,1990,,2010,,1990–1995,,2010–2015,,1990,,2010,
VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,4.2,,4.9,,5.5,,0.5,,0.7,,72.0,,79.4,,35.4,,38.9,,54.4,,51.0,,1.9,,1.9,,105.2,,105.4,
2,Australia,17.1,,21.5,,25.7,,1.2,,1.0,,85.4,,89.1,,32.2,,37.8,,49.8,,48.8,,1.9,,1.9,,105.2,,105.3,
3,New Zealand,3.4,,4.3,,5.0,,1.7,,0.9,,84.7,,86.2,,31.0,,36.6,,51.9,,49.7,,2.1,,2.0,,105.1,,105.8,
4,United States,254.9,,317.6,,370.0,,1.2,,0.9,,75.3,,82.3,,32.8,,36.6,,51.7,,49.6,,2.0,,2.0,,104.9,,105.1,
5,Ireland,3.5,,4.6,,5.6,,0.5,,1.3,,56.9,,61.9,,29.1,,34.6,,63.1,,47.3,,2.0,,1.9,,105.7,,106.4,
6,Liechtenstein,0.0,,0.0,,0.0,,1.3,,0.8,,16.9,,14.3,,..,,..,,..,,..,,..,,..,,..,,..,
7,Netherlands,15.0,,16.7,,17.5,,0.7,,0.3,,68.7,,82.9,,34.5,,40.8,,45.1,,49.2,,1.6,,1.8,,104.7,,105.2,
8,Canada,27.7,,33.9,,40.1,,1.1,,0.9,,76.6,,80.6,,32.9,,39.9,,47.0,,43.8,,1.7,,1.6,,104.9,,105.1,
9,Sweden,8.6,,9.3,,10.1,,0.6,,0.4,,83.1,,84.7,,38.3,,40.9,,55.6,,53.4,,2.0,,1.9,,105.4,,105.7,
10,Germany,79.4,,82.1,,77.9,,0.5,,-0.2,,73.1,,73.9,,37.7,,44.3,,45.0,,51.1,,1.3,,1.3,,105.5,,105.4,
11,Japan,123.2,,127.0,,117.4,,0.4,,-0.2,,63.1,,66.8,,37.4,,44.7,,43.5,,55.7,,1.5,,1.3,,105.0,,105.5,
12,Korea (Republic of),43.0,,48.5,,49.1,,0.8,,0.3,,73.8,,83.0,,27.0,,37.9,,44.1,,37.4,,1.7,,1.3,,112.6,,110.0,
13,Switzerland,6.7,,7.6,,8.1,,0.9,,0.4,,73.2,,73.6,,36.9,,41.9,,46.2,,48.0,,1.5,,1.5,,104.4,,105.1,
14,France,56.8,,62.6,,66.5,,0.4,,0.4,,74.1,,85.3,,34.9,,40.1,,52.1,,54.7,,1.7,,1.9,,104.9,,104.3,
15,Israel,4.5,,7.3,,9.2,,3.5,,1.4,,90.4,,91.9,,25.8,,29.7,,67.7,,60.8,,2.9,,2.6,,104.9,,105.9,
16,Finland,5.0,,5.3,,5.5,,0.5,,0.3,,79.4,,85.1,,36.4,,42.0,,48.6,,50.9,,1.8,,1.9,,104.5,,104.6,
17,Iceland,0.3,,0.3,,0.4,,1.0,,1.4,,90.8,,93.4,,30.0,,35.1,,55.3,,47.2,,2.2,,2.1,,104.8,,106.0,
18,Belgium,9.9,,10.7,,11.3,,0.3,,0.3,,96.4,,97.4,,36.3,,41.3,,49.3,,51.9,,1.6,,1.8,,105.5,,104.8,
19,Denmark,5.1,,5.5,,5.6,,0.3,,0.2,,84.8,,86.9,,37.1,,40.8,,48.4,,53.2,,1.8,,1.9,,105.5,,105.8,
20,Spain,38.8,,45.3,,49.8,,0.3,,0.8,,75.4,,77.4,,33.7,,40.2,,50.2,,47.3,,1.3,,1.6,,105.8,,106.4,
21,"Hong Kong, China (SAR)",5.7,,7.1,,8.2,,1.7,,0.9,,99.5,,100.0,,31.0,,41.9,,42.8,,32.3,,1.3,,1.0,,107.8,,108.1,
22,Greece,10.2,,11.2,,11.2,,1.0,,0.1,,58.8,,61.4,,36.1,,41.6,,49.1,,48.2,,1.4,,1.4,,105.6,,106.6,
23,Italy,57.0,,60.1,,59.5,,0.1,,0.2,,66.7,,68.4,,37.1,,43.3,,46.2,,52.9,,1.3,,1.4,,105.9,,105.5,
24,Luxembourg,0.4,,0.5,,0.6,,1.4,,1.1,,81.0,,85.2,,36.4,,39.3,,44.5,,46.3,,1.7,,1.7,,104.4,,106.5,
25,Austria,7.7,,8.4,,8.6,,0.7,,0.2,,65.8,,67.6,,35.7,,41.8,,48.0,,47.7,,1.5,,1.4,,105.3,,105.4,
26,United Kingdom,57.2,,61.9,,68.0,,0.3,,0.5,,78.1,,79.6,,35.8,,39.9,,53.2,,51.4,,1.8,,1.9,,104.6,,105.0,
27,Singapore,3.0,,4.8,,5.5,,2.9,,0.9,,100.0,,100.0,,29.3,,40.6,,37.1,,34.7,,1.8,,1.3,,107.4,,107.3,
28,Czech Republic,10.3,,10.4,,10.5,,0.0,,0.2,,75.2,,73.5,,35.2,,39.6,,51.5,,41.5,,1.7,,1.5,,104.9,,105.7,
29,Slovenia,1.9,,2.0,,2.0,,0.4,,0.2,,50.4,,49.5,,34.1,,41.7,,47.1,,43.3,,1.4,,1.5,,105.1,,105.3,
30,Andorra,0.1,,0.1,,0.1,,4.1,,1.5,,94.7,,88.0,,..,,..,,..,,..,,..,,..,,..,,..,
31,Slovakia,5.3,,5.4,,5.3,,0.4,,0.1,,56.5,,55.0,,31.3,,37.2,,55.2,,37.8,,1.9,,1.4,,104.3,,105.5,
32,United Arab Emirates,1.9,,4.7,,6.6,,5.3,,2.0,,79.1,,84.1,,27.4,,31.7,,45.2,,25.2,,3.9,,1.9,,104.1,,105.3,
33,Malta,0.4,,0.4,,0.4,,1.0,,0.3,,90.4,,94.7,,33.0,,39.0,,51.3,,42.9,,2.0,,1.3,,105.7,,106.0,
34,Estonia,1.6,,1.3,,1.3,,-1.7,,-0.0,,71.1,,69.5,,34.4,,39.6,,51.0,,48.0,,1.6,,1.8,,105.0,,105.6,
35,Cyprus,0.7,,0.9,,1.1,,1.4,,1.0,,66.8,,70.3,,30.9,,36.5,,58.1,,44.2,,2.4,,1.6,,107.1,,106.8,
36,Hungary,10.4,,10.0,,9.5,,-0.1,,-0.2,,65.8,,68.1,,36.4,,39.8,,50.6,,45.2,,1.7,,1.4,,104.7,,105.9,
37,Brunei Darussalam,0.3,,0.4,,0.5,,2.8,,1.7,,65.8,,75.7,,23.4,,27.8,,59.2,,42.4,,3.1,,2.0,,108.4,,106.7,
38,Qatar,0.5,,1.5,,2.0,,2.4,,1.6,,92.2,,95.8,,29.6,,30.1,,40.5,,20.5,,4.1,,2.3,,103.8,,105.4,
39,Bahrain,0.5,,0.8,,1.1,,3.2,,1.8,,88.1,,88.6,,25.9,,28.1,,50.8,,39.3,,3.4,,2.1,,107.5,,105.2,
40,Portugal,10.0,,10.7,,10.6,,0.1,,0.1,,47.9,,60.7,,34.2,,41.0,,51.0,,49.3,,1.5,,1.4,,105.2,,106.0,
41,Poland,38.1,,38.0,,36.2,,0.3,,-0.1,,61.3,,61.0,,32.3,,38.2,,54.3,,39.4,,1.9,,1.3,,105.0,,105.7,
42,Barbados,0.3,,0.3,,0.3,,-0.1,,0.2,,32.7,,44.5,,28.4,,37.8,,51.5,,37.9,,1.6,,1.6,,102.8,,103.4,
HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bahamas,0.3,,0.3,,0.4,,1.9,,1.1,,79.8,,84.1,,23.1,,29.7,,59.0,,47.1,,2.6,,2.0,,103.8,,104.3,
44,Lithuania,3.7,,3.3,,2.9,,-0.4,,-0.7,,67.6,,67.0,,32.7,,39.8,,50.3,,44.9,,1.8,,1.4,,104.3,,105.3,
45,Chile,13.2,,17.1,,19.8,,1.8,,0.9,,83.3,,89.0,,25.7,,32.1,,56.4,,46.0,,2.6,,1.9,,103.6,,103.8,
46,Argentina,32.5,,40.7,,47.3,,1.4,,0.9,,87.0,,92.4,,27.6,,30.4,,65.4,,55.2,,2.9,,2.2,,103.4,,103.6,
47,Kuwait,2.1,,3.1,,4.3,,-4.3,,2.0,,98.0,,98.4,,22.8,,30.6,,60.9,,34.5,,3.2,,2.1,,103.3,,102.7,
48,Latvia,2.7,,2.2,,2.0,,-1.3,,-0.4,,69.3,,67.7,,34.6,,40.0,,49.9,,45.5,,1.6,,1.5,,104.3,,105.5,
49,Montenegro,0.6,,0.6,,0.6,,1.2,,0.0,,48.0,,61.5,,30.0,,35.9,,53.0,,47.1,,1.8,,1.7,,106.4,,107.9,
50,Romania,23.2,,21.2,,19.5,,-0.5,,-0.4,,53.2,,57.5,,32.6,,38.5,,51.4,,43.0,,1.5,,1.4,,104.2,,105.9,
51,Croatia,4.5,,4.4,,4.2,,0.7,,-0.2,,54.0,,57.7,,35.8,,41.6,,46.7,,47.7,,1.5,,1.5,,104.9,,105.8,
52,Uruguay,3.1,,3.4,,3.6,,0.7,,0.3,,89.0,,92.5,,30.7,,33.7,,60.4,,57.2,,2.5,,2.0,,104.4,,104.7,
53,Libyan Arab Jamahiriya,4.4,,6.5,,8.5,,2.0,,1.8,,75.7,,77.9,,17.9,,26.2,,84.4,,52.5,,4.1,,2.5,,104.4,,104.9,
54,Panama,2.4,,3.5,,4.5,,2.0,,1.5,,53.9,,74.8,,21.9,,27.3,,67.1,,55.4,,2.9,,2.4,,104.0,,104.5,
55,Saudi Arabia,16.3,,26.2,,36.5,,2.3,,1.9,,76.6,,82.1,,19.4,,24.6,,79.2,,53.6,,5.5,,2.8,,102.2,,102.1,
56,Mexico,83.4,,110.6,,126.5,,1.9,,0.9,,71.4,,77.8,,19.8,,27.6,,75.0,,52.7,,3.2,,2.0,,104.0,,104.3,
57,Malaysia,18.1,,27.9,,35.3,,2.6,,1.5,,49.8,,72.2,,21.5,,26.3,,69.7,,51.3,,3.5,,2.4,,106.4,,105.8,
58,Bulgaria,8.8,,7.5,,6.5,,-1.1,,-0.6,,66.4,,71.5,,36.6,,41.7,,50.3,,45.1,,1.5,,1.5,,104.9,,105.7,
59,Trinidad and Tobago,1.2,,1.3,,1.4,,0.7,,0.4,,8.5,,13.9,,23.5,,30.8,,65.9,,37.9,,2.1,,1.7,,103.0,,103.1,
60,Serbia,9.6,,9.9,,9.6,,1.3,,-0.1,,50.4,,56.1,,33.6,,37.6,,48.9,,46.9,,2.0,,1.6,,107.6,,107.8,
61,Belarus,10.3,,9.6,,8.6,,0.0,,-0.5,,66.0,,74.7,,33.0,,38.2,,50.9,,39.0,,1.7,,1.3,,105.1,,106.1,
62,Costa Rica,3.1,,4.6,,5.8,,2.4,,1.3,,50.7,,64.4,,22.5,,28.2,,69.0,,46.6,,3.0,,1.9,,105.1,,104.8,
63,Peru,21.8,,29.5,,36.0,,1.9,,1.1,,68.9,,76.9,,20.5,,25.6,,73.2,,56.0,,3.6,,2.4,,103.4,,104.2,
64,Albania,3.3,,3.2,,3.4,,-1.0,,0.5,,36.4,,51.9,,23.8,,30.0,,61.6,,48.5,,2.8,,1.9,,108.2,,107.0,
65,Russian Federation,148.1,,140.4,,128.9,,0.1,,-0.3,,73.4,,73.2,,33.3,,38.1,,49.4,,38.7,,1.6,,1.5,,104.4,,105.5,
66,Kazakhstan,16.5,,15.8,,17.2,,-0.7,,0.7,,56.3,,58.5,,26.0,,29.4,,59.5,,44.5,,2.6,,2.2,,103.6,,105.2,
67,Azerbaijan,7.2,,8.9,,10.3,,1.5,,1.1,,53.8,,51.9,,23.2,,28.4,,62.6,,43.9,,2.9,,2.1,,106.5,,115.6,
68,Bosnia and Herzegovina,4.3,,3.8,,3.5,,-5.1,,-0.2,,39.3,,48.6,,29.7,,39.3,,43.5,,41.0,,1.5,,1.2,,103.3,,106.7,
69,Ukraine,51.6,,45.4,,40.2,,-0.2,,-0.6,,66.8,,68.8,,35.1,,39.5,,50.6,,41.8,,1.6,,1.5,,105.1,,105.5,
70,Iran (Islamic Republic of),56.7,,75.1,,89.9,,1.8,,1.1,,56.3,,70.8,,17.4,,26.8,,92.9,,40.2,,4.0,,1.7,,104.7,,105.2,
71,The former Yugoslav Republic of Macedonia,1.9,,2.0,,2.0,,0.6,,0.0,,57.8,,59.3,,29.5,,36.0,,50.6,,41.9,,2.1,,1.5,,106.0,,107.9,
72,Mauritius,1.1,,1.3,,1.4,,1.3,,0.6,,43.9,,41.8,,24.9,,32.6,,50.9,,42.2,,2.3,,1.9,,102.7,,103.7,
73,Brazil,149.6,,195.4,,217.1,,1.6,,0.7,,73.9,,86.5,,22.5,,29.0,,65.9,,47.9,,2.6,,1.7,,103.5,,104.2,
74,Georgia,5.5,,4.2,,3.8,,-1.5,,-0.7,,55.0,,52.8,,31.2,,37.6,,51.4,,44.9,,2.1,,1.6,,105.5,,110.7,
75,Venezuela (Bolivarian Republic of),19.7,,29.0,,37.1,,2.3,,1.5,,84.3,,93.4,,21.0,,26.1,,71.7,,54.1,,3.3,,2.4,,104.2,,104.5,
76,Armenia,3.5,,3.1,,3.2,,-1.9,,0.3,,67.4,,64.2,,27.0,,32.0,,56.2,,45.5,,2.4,,1.8,,103.2,,116.5,
77,Ecuador,10.3,,13.8,,16.7,,2.1,,1.2,,55.1,,67.0,,20.1,,25.4,,75.9,,59.5,,3.4,,2.4,,103.6,,104.4,
78,Belize,0.2,,0.3,,0.4,,3.0,,1.9,,47.5,,52.3,,17.9,,22.3,,90.0,,62.9,,4.4,,2.7,,103.1,,102.6,
79,Colombia,33.2,,46.3,,57.3,,1.9,,1.3,,68.3,,75.1,,21.5,,26.8,,69.1,,52.4,,3.0,,2.3,,104.1,,104.3,
80,Jamaica,2.4,,2.7,,2.9,,0.8,,0.4,,49.4,,52.0,,21.9,,26.3,,73.7,,57.9,,2.8,,2.3,,103.5,,105.1,
81,Tunisia,8.2,,10.4,,12.1,,1.7,,1.0,,58.0,,67.3,,20.7,,29.1,,74.5,,42.0,,3.1,,1.8,,106.2,,106.7,
82,Jordan,3.3,,6.5,,8.6,,5.6,,1.4,,72.2,,78.5,,16.3,,22.8,,100.0,,60.4,,5.1,,2.8,,106.7,,104.4,
83,Turkey,56.1,,75.7,,90.4,,1.7,,1.1,,59.2,,69.7,,21.5,,28.3,,67.3,,47.8,,2.9,,2.1,,103.5,,104.1,
84,Algeria,25.3,,35.4,,44.7,,2.2,,1.5,,52.1,,66.5,,18.2,,26.2,,87.4,,46.3,,4.1,,2.3,,104.6,,104.6,
85,Tonga,0.1,,0.1,,0.1,,0.6,,0.1,,22.7,,23.4,,19.7,,21.3,,78.1,,76.3,,4.5,,3.6,,107.0,,106.5,
MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Fiji,0.7,,0.9,,0.9,,1.2,,0.5,,41.6,,51.9,,21.3,,25.0,,69.4,,55.9,,3.4,,2.6,,106.3,,106.3,
87,Turkmenistan,3.7,,5.2,,6.3,,2.6,,1.2,,45.1,,49.5,,19.7,,24.7,,79.4,,49.6,,4.0,,2.3,,103.2,,103.2,
88,Dominican Republic,7.4,,10.2,,12.4,,1.9,,1.2,,55.2,,69.2,,20.3,,25.0,,73.2,,59.3,,3.3,,2.5,,103.7,,104.1,
89,China,"1,142.1",c,"1,354.1",c,"1,462.5",c,1.2,,0.6,,26.4,,47.0,,25.0,,34.2,,51.2,,39.1,,2.0,,1.8,,110.4,,121.2,
90,El Salvador,5.3,,6.2,,7.2,,1.4,,0.6,,49.2,,64.3,,19.2,,23.9,,83.6,,63.5,,3.7,,2.2,,103.5,,104.5,
91,Sri Lanka,17.3,,20.4,,22.2,,1.1,,0.7,,18.6,,14.3,,24.3,,30.6,,59.9,,47.1,,2.5,,2.2,,103.5,,103.7,
92,Thailand,56.7,,68.1,,73.5,,1.2,,0.5,,29.4,,34.0,,24.6,,33.2,,53.0,,41.2,,2.1,,1.9,,104.5,,104.6,
93,Gabon,0.9,,1.5,,2.0,,3.2,,1.8,,69.1,,86.0,,19.6,,21.6,,88.5,,66.4,,5.1,,3.0,,101.9,,102.1,
94,Suriname,0.4,,0.5,,0.6,,1.4,,0.8,,60.0,,69.4,,23.0,,27.6,,61.2,,53.9,,2.6,,2.3,,106.4,,107.2,
95,Bolivia (Plurinational State of),6.7,,10.0,,13.0,,2.3,,1.6,,55.6,,66.6,,19.2,,21.9,,80.8,,68.2,,4.8,,3.1,,103.6,,104.1,
96,Paraguay,4.2,,6.5,,8.5,,2.4,,1.6,,48.7,,61.5,,19.3,,23.1,,83.3,,63.2,,4.3,,2.8,,103.5,,103.9,
97,Philippines,62.4,,93.6,,124.4,,2.3,,1.7,,48.6,,48.9,,19.3,,23.2,,78.3,,60.7,,4.1,,2.9,,104.5,,105.0,
98,Botswana,1.4,,2.0,,2.4,,2.7,,1.3,,41.9,,61.1,,17.3,,22.8,,90.9,,58.2,,4.3,,2.7,,101.5,,101.8,
99,Moldova (Republic of),4.4,,3.6,,3.2,,-0.1,,-0.6,,46.8,,47.0,,29.9,,35.2,,56.8,,38.4,,2.1,,1.5,,104.3,,105.8,
100,Mongolia,2.2,,2.7,,3.2,,0.5,,1.1,,57.0,,62.0,,18.8,,26.3,,84.2,,42.1,,3.5,,1.9,,102.3,,104.1,
101,Egypt,57.8,,84.5,,110.9,,2.0,,1.7,,43.5,,43.4,,18.9,,23.9,,85.2,,58.1,,3.9,,2.7,,104.4,,104.7,
102,Uzbekistan,20.5,,27.8,,33.9,,2.2,,1.2,,40.2,,36.3,,19.4,,24.5,,81.5,,49.3,,3.9,,2.2,,103.5,,103.9,
103,Micronesia (Federated States of),0.1,,0.1,,0.1,,2.1,,0.5,,25.8,,22.7,,17.6,,20.8,,91.2,,67.3,,4.8,,3.2,,108.0,,107.2,
104,Guyana,0.7,,0.8,,0.7,,0.3,,-0.2,,29.6,,28.6,,20.8,,27.4,,69.9,,54.5,,2.6,,2.2,,102.8,,103.4,
105,Namibia,1.4,,2.2,,3.0,,2.7,,1.7,,27.7,,38.0,,17.8,,21.1,,88.9,,66.8,,4.9,,3.1,,100.8,,101.3,
106,Honduras,4.9,,7.6,,10.5,,2.6,,1.9,,40.5,,51.6,,17.1,,20.9,,95.4,,69.8,,4.9,,3.0,,103.6,,104.2,
